author,name,year,genres,isRead,isReread,series,seriesOrder,isOnShelf,fieldOfStudy,shelf
Robert Jordan,Winter's Heart,2000,фэнтези,FALSE,,Wheel of time,9,FALSE,английский,wheely
Robert Jordan,Crossroads of Twilight,2003,фэнтези,FALSE,,Wheel of time,10,FALSE,английский,wheely
Robert Jordan,Knife of Dreams,2005,фэнтези,FALSE,,Wheel of time,11,FALSE,английский,wheely
"Robert Jordan, Brandon Sanderson",The Gathering Storm,2009,фэнтези,FALSE,,Wheel of time,12,FALSE,английский,wheely
"Robert Jordan, Brandon Sanderson",Towers of Midnight,2010,фэнтези,FALSE,,Wheel of time,13,FALSE,английский,wheely
Ольга Лиманец,Ведьмак. Неофициальная кулинарная книга,2023,"нонфик, сборник",TRUE,FALSE,,,TRUE,,Ведьмак
эрнест хемингуэй ,собрание сочинений. том 1,1968,сборник,FALSE,,,,TRUE,,классика
эрнест хемингуэй ,собрание сочинений. том 2,1968,сборник,FALSE,,,,TRUE,,классика
Эрнест Хемингуэй ,собрание сочинений. том 3,1968,сборник,FALSE,,,,TRUE,,классика
марк твен,приключения гекльберри финна,1981,роман,FALSE,,,,TRUE,,классика
эрнест хемингуэй ,собрание сочинений. том 4,1968,сборник,FALSE,,,,TRUE,,классика
фёдор михайлович достоевский,преступление и наказание,1984,роман,FALSE,,,,TRUE,,классика
Иван Сергеевич Тургенев,записки охотника,1984,сборник,TRUE,TRUE,,,TRUE,,классика
николай островский,как закалялась сталь,1976,роман,FALSE,,,,TRUE,,классика
данте алигьери,божественная комедия,1986,роман,FALSE,,,,TRUE,,классика
михаил булгаков,"мастер и маргарита, белая гвардия",1980,"сборник, роман",FALSE,,,,TRUE,,классика
владимир короткевич,"чёрный замок ольшанский, дикая охота короля стаха",1984,"роман, сборник",FALSE,,,,TRUE,,классика
вальтер скотт,айвенго,1984,роман,FALSE,,,,TRUE,,классика
никколо макиавелли,государь,1997,"сборник, роман",FALSE,,,,TRUE,,классика
"и.ильф, е.петров","двенадцать стульев, золотой телёнок",1987,"роман, сборник",FALSE,,,,TRUE,,классика
колин маккалоу,поющие в терновнике,1991,роман,FALSE,,,,TRUE,,классика
иван сергеевич тургенев,"накануне, отцы и дети",1978,"роман, сборник",FALSE,,,,TRUE,,классика
Jane Austin,Pride and Prejudice,2019,роман,FALSE,,,,TRUE,английский,классика
Джейн Остин,Гордость и предубеждение,2020,роман,TRUE,FALSE,,,TRUE,,классика
Lewis Carroll,The Best of Lewis Carroll,2014,сборник,FALSE,,,,TRUE,английский,классика
фарли моуэт,не кричи волки,2019,нонфик,TRUE,FALSE,,,TRUE,,нонфик
ольга филатова,"облачно, возможны косатки",2024,нонфик,TRUE,FALSE,,,TRUE,,нонфик
анатолий баранов,для любимой собаки,1991,учебная литература,FALSE,,,,TRUE,собаководство,нонфик
хельмут райзер,шутцхунд,2014,учебная литература,FALSE,,,,TRUE,собаководство,нонфик
кэролин ларрингтон,скандинавские мифы,2022,"нонфик, мифы",TRUE,FALSE,,,TRUE,,нонфик
карен пррайор,не рычите на собаку,2022,учебная литература,TRUE,FALSE,,,TRUE,собаководство,нонфик
андрей юркевич,сам себе дрессировщик,2019,учебная литература,TRUE,FALSE,,,TRUE,собаководство,нонфик
,гора самоцветов,1993,"сборник, сказки",TRUE,TRUE,,,TRUE,,нонфик
нил гейман,скандинавские боги,2017,"мифы, сборник",FALSE,,,,TRUE,,нонфик
Алексей Целлариус,Собака. Полное руководство по дрессировке и уходу,2022,учебная литература,FALSE,,,,TRUE,собаководство,нонфик
,Старшая Эдда,1975,"сборник, мифы",FALSE,,,,TRUE,,нонфик
Юрий Рост,Эверест-82,1984,нонфик,FALSE,,,,TRUE,,нонфик
Стивен Хокинг и Леонард Млодинов,Высший замысел,2013,нонфик,FALSE,,,,TRUE,,нонфик
Че Гевара,Боливийский дневник,2009,нонфик,FALSE,,,,TRUE,,нонфик
,Тысяча и одна ночь,1986,сказки,TRUE,TRUE,,,TRUE,,нонфик
Татьяна Муравьёва,Мифы Поволжья,2023,"мифы, нонфик, сборник",FALSE,,,,TRUE,,нонфик
Мадлен Пакетт Джастин Хэммек,Вино. Практический путеводитель,2022,нонфик,FALSE,,,,TRUE,,нонфик
Oscar Wilde ,Fairytales,1979,сказки,FALSE,,,,TRUE,английский,нонфик
,Конец света. Лучшие романы о последнем дне Земли,2011,сборник,FALSE,,,,TRUE,,нонфик
Марина Влади,"Владимир, или прерванный полёт",1989,нонфик,FALSE,,,,TRUE,,нонфик
К.С.Льюис,хроники нарнии,2007,фэнтези,TRUE,TRUE,,,TRUE,,современное
нил гейман,коралина,2014,мистика,FALSE,,,,TRUE,,современное
макс фрай,мой рагнарёк,2015,фентези,TRUE,FALSE,,,TRUE,,современное
Нил Гейман,американские боги,2014,"фэнтези, сборник",TRUE,,,,TRUE,,современное
"Нил Гейман, Терри Пратчетт",благие знамения,2024,фэнтези,TRUE,,,,TRUE,,современное
нил гейман,никогде,2015,фэнтези,TRUE,TRUE,,,TRUE,,современное
Бром,"Крампус, повелитель Йоля",2018,фэнтези,TRUE,FALSE,,,TRUE,,современное
Дж.К.Роулинг,Случайная вакансия,2013,роман,FALSE,,,,TRUE,,современное
Слава Сэ,"Сантехник, его кот, жена и другие подробности",2011,сборник,TRUE,TRUE,,,TRUE,,современное
Слава Сэ,Сантехник. Твоё моё колено,2014,сборник,TRUE,TRUE,,,TRUE,,современное
Шон Байтелл,"Семь типов людей, которых можно встретить в книжном магазине",2021,сборник,FALSE,,,,TRUE,,современное
юлиан семёнов ,семнадцать мгновений весны,1984,роман,FALSE,,,,TRUE,,старьёвщик
карл мэй,виннету,1992,роман,FALSE,,,,TRUE,,старьёвщик
Андрей некрасов,приключения капитана врунгеля,1988,повесть,FALSE,,,,TRUE,,старьёвщик
генри райдер хаггард,"копи царя соломона, прекрасная маргарет",1991,"роман, сборник",FALSE,,,,TRUE,,старьёвщик
франсуаза саган ,повести,1983,"роман, повесть, сборник",FALSE,,,,TRUE,,старьёвщик
Редьярд Киплинг,Сказки старой Англии,2014,сборник,FALSE,,,,TRUE,,старьёвщик
Валентин Пикуль,Собрание сочинений,1992,сборник,FALSE,,,,TRUE,,старьёвщик
Густав Эмар,Сурикэ,1991,роман,FALSE,,,,TRUE,,старьёвщик
джесси шелл,гейм дизайн,2019,учебная литература,FALSE,,,,TRUE,ИТ,учебка
сергей орлов,теория и практика языков программирования,2013,учебная литература,FALSE,,,,TRUE,ИТ,учебка
джефри рихтер,clr via c#,2020,учебная литература,FALSE,,,,TRUE,ИТ,учебка
"э. гамма, р.хелм, р.джонсон, д.влиссидес",приёмы объектно ориентированного программирования,2020,учебная литература,TRUE,TRUE,,,TRUE,ИТ,учебка
