author,name,year,genres,isRead,series,seriesOrder,isOnShelf,fieldOfStudy,shelf,inProgress,isWishlist,isPlan2026
Трейси Вульф,Желание ,2011,,TRUE,Жажда,3,TRUE,,современное,FALSE,,FALSE
Трейси Вульф,Испытание,2014,,TRUE,Жажда,4,TRUE,,современное,FALSE,,FALSE
Трейси Вульф,Шарм ,2013,,FALSE,Жажда,5,TRUE,,нонфик,FALSE,,FALSE
Ребекка Яррос,Четвёртое крыло,2023,,TRUE,Эмпирей,1,TRUE,,нонфик,FALSE,,FALSE
Ребекка Яррос,Железное пламя,2019,,FALSE,Эмпирей,2,TRUE,,нонфик,FALSE,,FALSE
Дженифер Бенкау,Одна истиная королева. Коронованная звездами,2006,,TRUE,Одна истинная королева,1,TRUE,английский,учебка,FALSE,,FALSE
Дженифер Бенкау,Одна истиная королева. Созданная из тени,1984,,TRUE,Одна истинная королева,2,TRUE,,классика,FALSE,,FALSE
Лия Арден,Мара и Морок,1983,,TRUE,Смерть и тень,1,TRUE,,старьёвщик,FALSE,,FALSE
Лия Арден, Мара и Морок. Особенная Тень,2014,,TRUE,Смерть и тень,2,TRUE,собаководство,нонфик,FALSE,,FALSE
Лия Арден,Мара и Морок. 500 лет назад.,2009,,TRUE,Смерть и тень,3,TRUE,,нонфик,FALSE,,FALSE
"Ина Голдин, Гертруда Пента",Твоя капля крови ,2021,,TRUE,,,TRUE,,современное,FALSE,,FALSE
Мэрион Зиммер Брэдли,Туманы Авалона. Том 1 ,2020,,TRUE,Туманы Авалона,1,TRUE,ИТ,учебка,FALSE,,FALSE
Мэрион Зиммер Брэдли,Туманы Авалона. Том 2,1992,,TRUE,Туманы Авалона,2,TRUE,,фантастика,FALSE,,FALSE
Холли Блэк,Как король Эльфхейма научился ненавидеть истории,1968,,TRUE,Небесный народец,4,TRUE,,классика,FALSE,,FALSE
Холли Блэк,Жестокий принц,1968,,TRUE,Небесный народец,1,TRUE,,классика,FALSE,,FALSE
Холли Блэк,Злой король,1968,,TRUE,Небесный народец,2,TRUE,,классика,FALSE,,FALSE
Холли Блэк,Королева ничего,1968,,TRUE,Небесный народец,3,TRUE,,классика,FALSE,,FALSE
Ася Лавринович,Не дружи со мной,2005,,TRUE,Не дружи со мной,1,TRUE,английский,учебка,FALSE,,FALSE
Ася Лавринович,Не спасай меня ,1984,,TRUE,Не дружи со мной,2,TRUE,,старьёвщик,FALSE,,FALSE
Ася Лавринович,Нежность сероглазого короля,1984,,TRUE,,,TRUE,,нонфик,FALSE,,FALSE
Ася Лавринович,От одного зайца,2025,,TRUE,,,TRUE,,нонфик,FALSE,,FALSE
Ася Лавринович,Загадай любовь,2019,,TRUE,,,TRUE,английский,классика,FALSE,,FALSE
Янина Логвин,Охота на ботаника ,2014,,FALSE,,,TRUE,английский,классика,FALSE,,FALSE
Янина Логвин,Коломбина для рыжего,2006,,TRUE,,,TRUE,английский,учебка,FALSE,,FALSE
Эль Кеннеди,Сделка ,1979,,FALSE,,,TRUE,английский,нонфик,FALSE,,FALSE
Мелисса Перрон,Пообещай мне весну ,1993,,FALSE,,,TRUE,,нонфик,FALSE,,FALSE
Али Хейзелвуд,Гипотеза любви ,2011,,TRUE,,,TRUE,,нонфик,FALSE,,FALSE
Эмма Скотт,Зажечь небеса,1975,,TRUE,,,TRUE,,нонфик,FALSE,,FALSE
Эмма Скотт,Сахар и золото,1993,,FALSE,,,TRUE,,фантастика,FALSE,,FALSE
Эрин Уатт,Бумажная принцесса,1986,,TRUE,Бумажная принцесса,1,TRUE,,нонфик,FALSE,,FALSE
Эрин Уатт,Сломленный принц,,,TRUE,Бумажная принцесса,2,,,,,,
Эрин Уатт,Разрушенный дворец,,,TRUE,Бумажная принцесса,3,,,,,,
Хлоя Уолш,Зацепить 13го,,,TRUE,Парни Томмена,1,,,,,,
Хлоя Уолш,Удержать 13го,,,TRUE,Парни Томмена,2,,,,,,
Мона Кастен,Начни сначала,,,FALSE,,,,,,,,
Л. Дж. Шэн,Похититель поцелуев,,,TRUE,,,,,,,,
Мелисса Башардауст,"Девушка, змей, шип",,,FALSE,,,,,,,,
Анна Джейн,Восхитительная ведьма ,,,TRUE,Восхитительная ведьма,1,,,,,,
Анна Джейн,Влюблённая ведьма ,,,TRUE,Восхитительная ведьма,2,,,,,,
Пенелопа Дуглас,Испорченный ,,,TRUE,Ночь дьявола,1,,,,,,
Анна Тодд,После  долго и счастливо,,,FALSE,После,4,,,,,,
Анна Тодд,После ссоры,,,FALSE,После,2,,,,,,
Анна Тодд,После,,,FALSE,После,1,,,,,,
Меган Брэнди,Будь моей Брейшо,,,TRUE,Pink Room. Элитные парни Меган Брэнди,4,,,,,,
Меган Брэнди,Короли старшей школы,,,TRUE,Pink Room. Элитные парни Меган Брэнди,3,,,,,,
Меган Брэнди,Неприятности в старшей школе,,,TRUE,Pink Room. Элитные парни Меган Брэнди,2,,,,,,
Меган Брэнди,Парни из старшей школы,,,TRUE,Pink Room. Элитные парни Меган Брэнди,1,,,,,,
Рупи Каур,"Milk and Honey. Белые стихи, покорившие мир",,,TRUE,,,,,,,,
Кейси Маккуистон,"Красный, белый и королевский синий",,,TRUE,,,,,,,,
Алексис Холл,Идеальный парень,,,,,,,,,,,
Ольга Птицева,Выйди из шкафа,,,TRUE,,,,,,,,
"Бекки Алберталли, Адам Сильвера","Что, если это мы",,,,,,,,,,,
Бекки Алберталли,Саймон и программа Homo sapiens ,,,,,,,,,,,
Эмма Скотт,Однажды я выберу тебя,,,TRUE,,,,,,,,
,Невидимые голоса (сборник рассказов),,,TRUE,,,,,,,,
Нора Сакавич,Свита короля,,,TRUE,Все ради игры,3,,,,,,
Нора Сакавич,Король воронов,,,TRUE,Все ради игры,2,,,,,,
Нора Сакавич,Лисья нора,,,TRUE,Все ради игры,1,,,,,,
Лесли Уолтон,Светлая печаль Авы Лавендер,,,TRUE,,,,,,,,
Иби Зобой,Гордость,,,TRUE,,,,,,,,
К. С. Пакат,Пленёный принц,,,TRUE,,,,,,,,
Адам Сильвера,Сын вечности,,,TRUE,,,,,,,,
Нина Лакур,Замри,,,,,,,,,,,
Рейчел Смайт,Предания олимпа ,,,TRUE,,,,,,,,
