author,name,year,genres,isRead,series,seriesOrder,isOnShelf,fieldOfStudy,shelf,inProgress,isWishlist,isPlan2026
Джеймс Кори,Восстание Персеполиса,2017,,TRUE,Пространство,7,FALSE,,фантастика,FALSE,TRUE,FALSE
Джеймс Кори,Врата Абаддона,2013,,TRUE,Пространство,3,FALSE,,фантастика,FALSE,TRUE,FALSE
Джеймс Кори,Гнев Тиамат,2020,,TRUE,Пространство,8,FALSE,,фантастика,FALSE,TRUE,FALSE
Джеймс Кори,Игры Немезиды,2020,,TRUE,Пространство,5,TRUE,,фантастика,FALSE,FALSE,FALSE
Джеймс Кори,Пепел Вавилона,2020,,TRUE,Пространство,6,TRUE,,фантастика,FALSE,FALSE,FALSE
Джеймс Кори,Пожар Сиболы,2021,,TRUE,Пространство,4,TRUE,,фантастика,FALSE,FALSE,FALSE
Джеймс Кори,Пробуждение Левиафана,2017,,TRUE,Пространство,1,TRUE,,фантастика,FALSE,FALSE,FALSE
Стефани Майер,Затмение,2007,,TRUE,Сумерки сага,3,TRUE,,роментези,FALSE,FALSE,FALSE
Стефани Майер,Новолуние,2006,,TRUE,Сумерки сага,2,TRUE,,роментези,FALSE,FALSE,FALSE
Стефани Майер,Рассвет,2008,,TRUE,Сумерки сага,4,TRUE,,роментези,FALSE,FALSE,FALSE
Стефани Майер,Сумерки,2005,,TRUE,Сумерки сага,1,TRUE,,роментези,FALSE,FALSE,FALSE
Александра Риплей,Скарлетт,1992,,FALSE,Унесённые ветром,3,TRUE,,старьёвщик,FALSE,FALSE,FALSE
Маргарет Митчелл,Унесённые ветром. Том 1,1990,,FALSE,Унесённые ветром,1,TRUE,,старьёвщик,FALSE,FALSE,FALSE
Маргарет Митчелл,Унесённые ветром. Том 2,1990,,FALSE,Унесённые ветром,2,TRUE,,старьёвщик,FALSE,FALSE,FALSE
"Екатерина Казакова, Алена Харитонова",Жнецы страданий,2023,,TRUE,Ходящие в ночи,1,FALSE,,,FALSE,FALSE,FALSE
урсула ле гуин,волшебник земноморья,1992,,FALSE,Цикл о Земноморье,3,TRUE,,фентезятина,FALSE,FALSE,FALSE
Ребекка Яррос,Железное пламя,2023,,TRUE,Эмпирей,2,FALSE,,,FALSE,FALSE,FALSE
Ребекка Яррос,Ониксовый шторм,2025,,TRUE,Эмпирей,3,FALSE,,,FALSE,FALSE,FALSE
Ребекка Яррос,Четвёртое крыло,2023,,TRUE,Эмпирей,1,FALSE,,,FALSE,FALSE,FALSE
J.K.Rowling,Harry Potter and the chamber of secrets,2018,,TRUE,Harry Potter,2,TRUE,английский,HP,FALSE,FALSE,FALSE
J.K.Rowling,Harry Potter and the pholosopher's stone,2018,,TRUE,Harry Potter,1,TRUE,английский,HP,FALSE,FALSE,FALSE
J.K.Rowling,Harry Potter and the prisoner of Azkaban,2018,,TRUE,Harry Potter,3,TRUE,английский,HP,TRUE,FALSE,FALSE
Robert Jordan,A Crown of Swords,1996,,FALSE,Wheel of time,7,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,Crossroads of Twilight,2003,,FALSE,Wheel of time,10,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,Knife of Dreams,2005,,FALSE,Wheel of time,11,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,Lord of Chaos,1994,,FALSE,Wheel of time,6,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,New Spring,1998,,FALSE,Wheel of time,0,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,The Dragon Reborn,1991,,FALSE,Wheel of time,3,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,The Eye of the World,1990,,FALSE,Wheel of time,1,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,The Fires of Heaven,1993,,FALSE,Wheel of time,5,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,The Great Hunt,1990,,FALSE,Wheel of time,2,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,The Path of Daggers,1998,,FALSE,Wheel of time,8,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,The Shadow Rising,1992,,FALSE,Wheel of time,4,FALSE,английский,wheely,FALSE,TRUE,FALSE
Robert Jordan,Winter's Heart,2000,,FALSE,Wheel of time,9,FALSE,английский,wheely,FALSE,TRUE,FALSE
"Robert Jordan, Brandon Sanderson",A Memory of Light,2013,,FALSE,Wheel of time,14,FALSE,английский,wheely,FALSE,TRUE,FALSE
"Robert Jordan, Brandon Sanderson",The Gathering Storm,2009,,FALSE,Wheel of time,12,FALSE,английский,wheely,FALSE,TRUE,FALSE
"Robert Jordan, Brandon Sanderson",Towers of Midnight,2010,,FALSE,Wheel of time,13,FALSE,английский,wheely,FALSE,TRUE,FALSE
адитья бхаргава,Грокаем алгоритмы,2021,,TRUE,,,TRUE,ИТ,учебка,FALSE,FALSE,FALSE
александра александрова,пёс его знает,2023,,FALSE,,,TRUE,собаководство,собачье дело,FALSE,FALSE,FALSE
Алексей Целлариус,Собака. Полное руководство по дрессировке и уходу,2022,,FALSE,,,TRUE,собаководство,нонфик,FALSE,FALSE,FALSE
